cluster_rank	metadata_features	microbiome_features	best_adjusted_pvalue	metadata_size	microbiome_size
167	host_removed_fraction;log10_bacterial_reads	Pseudomonas sihuiensis	0.0105427447325754	2	1
168	culture_p_aeruginosa	Pseudomonas koreensis;Pseudomonas vancouverensis;Pseudomonas sp. PSKL.D1;Pseudomonas phytophila	0.0105427447325754	1	4
169	log10_bacterial_reads	Pseudomonas hefeiensis	0.0107066090033748	1	1
170	log10_bacterial_reads	Yokenella regensburgei;Klebsiella electrica;Klebsiella pasteurii;Shigella boydii;Klebsiella huaxiensis;Klebsiella africana;Klebsiella quasivariicola	0.0107997741451801	1	7
171	body_region_head_neck	Cutibacterium avidum	0.0112774194763801	1	1
172	log10_bacterial_reads	Pseudomonas sp. BW7P1;Pseudomonas sp. S35;Pseudomonas mediterranea;Pseudomonas ogarae	0.0113593127640591	1	4
173	culture_klebsiella_spp	Pseudomonas multiresinivorans;Pseudomonas promysalinigenes;Pseudomonas knackmussii;Pseudomonas alkylphenolica;Pseudomonas fulva;Pseudomonas sp. Q1-7;Pseudomonas triclosanedens;Pseudomonas nitroreducens;Pseudomonas benzenivorans;Pseudomonas entomophila;Pseudomonas sp. SO81;Pseudomonas sp. 273;Pseudomonas protegens	0.0116286769216406	1	13
174	log10_bacterial_reads	Staphylococcus devriesei	0.0117667572713311	1	1
175	culture_klebsiella_spp	Pseudomonas glycinae;Pseudomonas sp. FP2338;Pseudomonas iranensis	0.0117667572713311	1	3
176	culture_klebsiella_spp	Pseudomonas sp. MH9.3;Pseudomonas cucumis;Pseudomonas sp. ACM7;Pseudomonas sp. B21-048;Pseudomonas sp. NS1(2017);Pseudomonas oryziphila;Pseudomonas hygromyciniae;Pseudomonas aestiva	0.0117667572713311	1	8
177	host_removed_fraction;log10_bacterial_reads	Erwinia tracheiphila;Raoultella planticola;Jejubacter calystegiae	0.0118643571084435	2	3
178	culture_p_aeruginosa;chronicity_group_chronic_like	Staphylococcus simulans	0.0119291804503966	2	1
179	log10_bacterial_reads	Pseudomonas sp. LPB0260;Pseudomonas sp. HLS-6;Pseudomonas sp. SL4(2022);Pseudomonas wenzhouensis	0.0119291804503966	1	4
180	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas hefeiensis	0.0119325046970217	3	1
181	host_removed_fraction;log10_bacterial_reads	Pseudomonas allokribbensis	0.0123187517647078	2	1
182	culture_p_aeruginosa	Pseudomonas siliginis	0.0129505691665347	1	1
183	culture_p_aeruginosa	Pseudomonas sp. LG1E9	0.0129505691665347	1	1
184	host_removed_fraction;log10_bacterial_reads	Pseudomonas amygdali	0.0129505691665347	2	1
185	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas saxonica	0.0129505691665347	2	1
186	culture_p_aeruginosa	Pseudomonas sp. MUP55;Pseudomonas veronii	0.0129505691665347	1	2
187	log10_bacterial_reads	Pseudomonas benzopyrenica;Pseudomonas sp. PP3;Pseudomonas sp. JBR1;Pseudomonas laurylsulfatiphila;Pseudomonas sp. CYM-20-01;Pseudomonas grandcourensis;Pseudomonas sp. B21-053;Pseudomonas helvetica;Pseudomonas sp. FP1742;Pseudomonas tritici	0.0132648165184287	1	10
188	chronicity_group_chronic_like	Staphylococcus hominis	0.01340703926067	1	1
189	log10_bacterial_reads	Pseudomonas sp. FP597;Pseudomonas asgharzadehiana;Pseudomonas sp. S09G 359;Pseudomonas sp. 10S4;Pseudomonas nunensis;Pseudomonas sp. D3;Pseudomonas kribbensis	0.01340703926067	1	7
190	log10_bacterial_reads	Xanthomonas citri	0.01340703926067	1	1
191	host_removed_fraction	Pseudomonas sp. DR48;Pseudomonas sp. JDS08PS003	0.0134112223178301	1	2
192	host_removed_fraction	Streptococcus agalactiae;Pseudomonas sp. LM12	0.0134826801505578	1	2
193	host_removed_fraction	Pseudomonas huanghezhanensis	0.0143602998870952	1	1
194	log10_bacterial_reads	Pseudomonas sp. ADAK18;Pseudomonas taetrolens	0.0143746435775825	1	2
195	culture_p_aeruginosa	Dermacoccus nishinomiyaensis;Gordonia otitidis	0.0143956522759482	1	2
196	log10_bacterial_reads	Pseudomonas brassicacearum	0.0146861235098959	1	1
197	log10_bacterial_reads	Pseudomonas atacamensis;Pseudomonas sp. DC1.2;Pseudomonas sp. RtIB026;Pseudomonas sp. DG56-2;Pseudomonas inefficax	0.0146945486187865	1	5
198	log10_bacterial_reads	Pseudomonas sp. P8_241;Pseudomonas maumuensis	0.0147089558089982	1	2
199	chronicity_group_unknown	Bordetella hinzii;Bordetella bronchiseptica;Achromobacter sp. EB05;Achromobacter deleyi;Achromobacter spanius	0.0149479491142672	1	5
200	host_removed_fraction	Brevibacterium luteolum;Brevibacterium sp. CS2;Auritidibacter ignavus	0.0149479491142672	1	3
201	log10_bacterial_reads	Pseudomonas sp. FP198;Pseudomonas cichorii;Pseudomonas umsongensis;Pseudomonas sivasensis;Pseudomonas migulae;Pseudomonas sp. P5_109;Pseudomonas sp. FP2335;Pseudomonas sp. MPC6;Pseudomonas sp. CMR5c;Pseudomonas sp. WJP1	0.0149479491142672	1	10
202	culture_klebsiella_spp	Pseudomonas syringae group genomosp. 7;Pseudomonas sp. Z8(2022);Pseudomonas canadensis;Pseudomonas sp. REST10;Pseudomonas sp. FP2309	0.0149479491142672	1	5
203	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas promysalinigenes	0.0150040995385035	3	1
204	body_region_head_neck	Staphylococcus epidermidis;Staphylococcus capitis	0.0153198036630531	1	2
205	log10_bacterial_reads	Pseudomonas sp. M1	0.0154237943986092	1	1
206	culture_s_aureus	Pseudomonas syringae group genomosp. 7	0.0157104202951504	1	1
207	host_removed_fraction	Pseudomonas syringae group genomosp. 7	0.0158020664627953	1	1
208	body_region_head_neck	Staphylococcus condimenti	0.0158290873347128	1	1
209	log10_bacterial_reads	Pseudomonas sp. AA-38;Pseudomonas sp. B33.4;Pseudomonas sp. Lz4W;Pseudomonas sp. CCOS 191;Pseudomonas sp. MRSN 12121;Pseudomonas sp. G2-4;Pseudomonas sp. SK3(2021)	0.0159882158501222	1	7
210	log10_bacterial_reads	Pseudomonas sp. SG20056	0.0161197270465387	1	1
211	culture_e_faecalis	Pseudomonas monteilii;Pseudomonas antarctica	0.0162394362118095	1	2
212	culture_serratia_marcescens	Acinetobacter pittii	0.016361892948758	1	1
213	log10_bacterial_reads	Pseudomonas congelans;Pseudomonas lijiangensis	0.016361892948758	1	2
214	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. CCC3.1;Pseudomonas reinekei;Pseudomonas arsenicoxydans;Pseudomonas sp. B21-054;Pseudomonas sp. GOM7;Pseudomonas soli	0.0165069157362896	2	6
215	log10_bacterial_reads	Pseudomonas sp. B21-028	0.0171125177773245	1	1
216	body_region_head_neck	Corynebacterium bovis	0.017625065428141	1	1
217	culture_klebsiella_spp	Citrobacter freundii	0.0181228241413953	1	1
218	host_removed_fraction;log10_bacterial_reads	Staphylococcus equorum	0.0181792248892658	2	1
219	culture_p_aeruginosa	Pseudomonas sp. A34-9;Pseudomonas sp. DY-1	0.0182732354965571	1	2
220	culture_klebsiella_spp	Pseudomonas sp. B21-040	0.0182732354965571	1	1
221	culture_p_aeruginosa	Pseudomonas glycinae	0.0182732354965571	1	1
222	culture_p_aeruginosa	Pseudomonas oryziphila;Pseudomonas hygromyciniae;Pseudomonas aestiva	0.0182732354965571	1	3
223	culture_p_aeruginosa	Pseudomonas benzopyrenica;Pseudomonas sp. PP3;Pseudomonas sp. JBR1;Pseudomonas laurylsulfatiphila;Pseudomonas sp. CYM-20-01;Pseudomonas grandcourensis;Pseudomonas sp. B21-053;Pseudomonas helvetica;Pseudomonas sp. FP1742;Pseudomonas tritici	0.0182732354965571	1	10
224	log10_bacterial_reads	Pseudomonas alvandae;Pseudomonas purpurea;Pseudomonas sp. ADPe;Pseudomonas granadensis;Pseudomonas sp. Leaf58;Pseudomonas vranovensis;Pseudomonas fakonensis;Pseudomonas corrugata;Pseudomonas paeninsulae	0.0182732354965571	1	9
225	host_removed_fraction;log10_bacterial_reads	Pseudomonas poae	0.0182732354965571	2	1
226	log10_bacterial_reads	Pseudomonas sp. PDNC002;Pseudomonas paraeruginosa;Pseudomonas citronellolis;Pseudomonas sp. ATCC 13867;Pseudomonas sp. GCEP-101	0.0182732354965571	1	5
227	log10_bacterial_reads	Pseudomonas sp. St316	0.0184336799171761	1	1
228	culture_klebsiella_spp	Pseudomonas fragi;Pseudomonas siliginis	0.0187750333552429	1	2
229	culture_p_aeruginosa	Pseudomonas amygdali	0.0187750333552429	1	1
230	log10_bacterial_reads	Pseudomonas saxonica;Pseudomonas sp. MAG733B;Pseudomonas viciae	0.0187750333552429	1	3
231	chronicity_group_unknown;clinical_infection_flag_unknown	Stenotrophomonas sp. 57	0.0188657027810436	2	1
