cluster_rank	metadata_features	microbiome_features	best_adjusted_pvalue	metadata_size	microbiome_size
232	culture_p_aeruginosa	Pseudomonas kurunegalensis	0.0195529402586123	1	1
233	host_removed_fraction;log10_bacterial_reads	Enterobacter kobei	0.0195628498600561	2	1
234	chronicity_group_acute_like	Alcaligenes faecalis	0.0195628498600561	1	1
235	culture_p_aeruginosa	Pseudomonas sp. 15A4	0.0195628498600561	1	1
236	host_removed_fraction;log10_bacterial_reads	Escherichia fergusonii	0.0201007833442119	2	1
237	log10_bacterial_reads	Pseudomonas glycinae;Pseudomonas sp. FP2338;Pseudomonas iranensis	0.0201884665312196	1	3
238	culture_p_aeruginosa	Pseudomonas sp. MAG733B;Pseudomonas viciae	0.0203918204528295	1	2
239	log10_bacterial_reads	Mammaliicoccus vitulinus;Bacillus velezensis	0.0204516478092561	1	2
240	host_removed_fraction;log10_bacterial_reads	Corynebacterium camporealensis	0.0204793309263984	2	1
241	log10_bacterial_reads	Pseudomonas sp. 15A4;Pseudomonas sp. F3-2;Pseudomonas sp. KU26590;Pseudomonas sp. RC10;Pseudomonas abietaniphila	0.0204793309263984	1	5
242	log10_bacterial_reads	Pseudomonas sp. SGAir0191;Pseudomonas sp. TMP9;Pseudomonas gozinkensis	0.0204793309263984	1	3
243	log10_bacterial_reads	Pseudomonas wadenswilerensis	0.0204793309263984	1	1
244	culture_klebsiella_spp	Pseudomonas sp. MUP55;Pseudomonas veronii	0.0204793309263984	1	2
245	host_removed_fraction	Pseudomonas sp. G.S.17	0.0205064290394215	1	1
246	culture_acinetobacter_baumannii	Enterobacter bugandensis	0.0205206319238261	1	1
247	culture_acinetobacter_baumannii	Yokenella regensburgei;Klebsiella electrica;Klebsiella pasteurii;Shigella boydii;Klebsiella huaxiensis;Klebsiella africana;Klebsiella quasivariicola	0.0205206319238261	1	7
248	clinical_infection_flag_unknown	Staphylococcus simulans	0.0205684275759015	1	1
249	culture_klebsiella_spp	Pseudomonas sp. M1;Pseudomonas sp. B21-028;Pseudomonas sp. ADAK18;Pseudomonas taetrolens;Pseudomonas atacamensis;Pseudomonas sp. DC1.2;Pseudomonas sp. RtIB026;Pseudomonas sp. DG56-2;Pseudomonas inefficax;Pseudomonas sp. FP198;Pseudomonas cichorii;Pseudomonas umsongensis;Pseudomonas sivasensis;Pseudomonas migulae;Pseudomonas sp. P5_109;Pseudomonas sp. FP2335;Pseudomonas sp. MPC6;Pseudomonas sp. CMR5c;Pseudomonas sp. WJP1	0.0205690266394797	1	19
250	culture_s_aureus	Bordetella bronchiseptica	0.0208082882974656	1	1
251	culture_klebsiella_spp	Pseudomonas sp. FDAARGOS_761	0.0208082882974656	1	1
252	culture_p_aeruginosa	Acinetobacter baumannii	0.0210426051769707	1	1
253	culture_s_aureus	Serratia ficaria	0.0210426051769707	1	1
254	log10_bacterial_reads	Pseudomonas sp. Pc102;Pseudomonas moorei	0.0210426051769707	1	2
255	host_removed_fraction;log10_bacterial_reads	Mammaliicoccus sciuri	0.0213415355627403	2	1
256	chronicity_group_unknown	Achromobacter denitrificans	0.0213868701185332	1	1
257	culture_p_aeruginosa	Pseudomonas sp. LPH1	0.0213868701185332	1	1
258	log10_bacterial_reads	Pseudomonas sp. NY5710	0.021577035733204	1	1
259	culture_e_coli	Shigella boydii	0.0218220039250377	1	1
260	culture_e_coli	Yersinia pestis	0.0218220039250377	1	1
261	culture_p_aeruginosa	Pseudomonas syringae;Pseudomonas synxantha;Pseudomonas rhodesiae	0.0218840560777609	1	3
262	body_region_upper_extremity	Ectopseudomonas oleovorans	0.0220834489438088	1	1
263	log10_bacterial_reads	Staphylococcus agnetis	0.0224277923116914	1	1
264	clinical_infection_flag_yes	Pseudomonas rhodesiae	0.0226460133452596	1	1
265	chronicity_group_unknown	Staphylococcus casei	0.0227939879138414	1	1
266	chronicity_group_acute_like	Serratia entomophila	0.0234889795112148	1	1
267	culture_p_aeruginosa	Pseudomonas sp. S35;Pseudomonas mediterranea;Pseudomonas ogarae	0.0235144087152558	1	3
268	log10_bacterial_reads	Pseudomonas sp. LPH1	0.0235144087152558	1	1
269	body_region_lower_extremity	Serratia sp. 3ACOL1;Serratia ficaria	0.0238413984236803	1	2
270	chronicity_group_mixed	Staphylococcus equorum	0.0240882150593147	1	1
271	body_region_head_neck	Staphylococcus xylosus	0.0241709408599126	1	1
272	log10_bacterial_reads	Acinetobacter sp. 8_A20231192;Acinetobacter johnsonii	0.0243072961743879	1	2
273	host_removed_fraction	Pseudomonas serboccidentalis	0.0243494604152119	1	1
274	body_region_head_neck	Dermacoccus nishinomiyaensis	0.0243595493993809	1	1
275	culture_klebsiella_spp	Pseudomonas saxonica;Pseudomonas sp. MAG733B;Pseudomonas viciae	0.0244524974084377	1	3
276	body_region_trunk_perineum	Variovorax sp. UC122_21	0.0244731145555231	1	1
277	body_region_trunk_perineum	Corynebacterium kroppenstedtii;Staphylococcus caprae	0.0244731145555231	1	2
278	body_region_head_neck	Staphylococcus aureus	0.0251756346843865	1	1
279	log10_bacterial_reads	Pseudomonas tohonis	0.0252835375072937	1	1
280	log10_bacterial_reads	Pseudomonas zeae	0.0253968283576873	1	1
281	culture_acinetobacter_baumannii	Jejubacter calystegiae	0.0255928131658268	1	1
282	body_region_lower_extremity	Citrobacter portucalensis;Citrobacter farmeri	0.0259295652417011	1	2
283	body_region_head_neck	Acinetobacter nosocomialis	0.0259295652417011	1	1
284	chronicity_group_unknown;clinical_infection_flag_unknown	Staphylococcus sp. FSL W8-0305	0.0260963994279169	2	1
285	host_removed_fraction	Pseudomonas sp. ML2-2023-3	0.0262773329809999	1	1
286	body_region_head_neck	Staphylococcus pseudintermedius	0.026369457391356	1	1
287	body_region_lower_extremity	Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1	0.0265436428388349	1	9
288	body_region_lower_extremity	Corynebacterium genitalium	0.0265436428388349	1	1
289	culture_p_aeruginosa	Pseudomonas tolaasii	0.0265436428388349	1	1
290	culture_klebsiella_spp	Pseudomonas graminis;Pseudomonas caspiana;Pseudomonas prosekii	0.0265436428388349	1	3
291	chronicity_group_acute_like	Cutibacterium granulosum	0.0271212611638047	1	1
292	host_removed_fraction	Staphylococcus cohnii	0.0271212611638047	1	1
293	log10_bacterial_reads	Pseudomonas sp. KU43P	0.0271895900349125	1	1
294	host_removed_fraction;log10_bacterial_reads	Aeromonas caviae	0.0274329200468014	2	1
295	culture_e_coli	Enterobacter bugandensis	0.027468610879526	1	1
296	log10_bacterial_reads	Pseudomonas sp. FDAARGOS_761	0.027468610879526	1	1
297	body_region_head_neck	Staphylococcus lugdunensis	0.0274923313546459	1	1
298	chronicity_group_acute_like	Pseudomonas sp. HR96	0.0280412714455677	1	1
299	log10_bacterial_reads	Pseudomonas graminis;Pseudomonas caspiana;Pseudomonas prosekii	0.0280412714455677	1	3
300	host_removed_fraction	Pseudomonas lini	0.0280412714455677	1	1
301	culture_s_aureus;culture_serratia_marcescens	Serratia entomophila	0.0285133424784357	2	1
302	culture_s_aureus	Serratia odorifera	0.0288058023434055	1	1
303	culture_s_aureus	Pseudomonas sp. nanlin1;Pseudomonas xantholysinigenes;Pseudomonas sp. B11D7D;Pseudomonas cremoricolorata;Pseudomonas saudiphocaensis	0.0288636358665722	1	5
304	culture_s_aureus	Pseudomonas sichuanensis	0.028914800012744	1	1
305	chronicity_group_acute_like	Cutibacterium acnes;Gordonia sp. w5E2;Gordonia bronchialis	0.0289228389125627	1	3
306	host_removed_fraction	Pseudomonas agarici	0.0289228389125627	1	1
307	culture_p_aeruginosa	Pseudomonas sp. BIOMIG1BAC	0.0295308230818733	1	1
308	log10_bacterial_reads	Pseudomonas brenneri	0.0301228245938355	1	1
309	log10_bacterial_reads	Streptococcus thermophilus	0.0302606147404596	1	1
310	culture_serratia_marcescens	Acinetobacter nosocomialis	0.0304342301640371	1	1
311	log10_bacterial_reads	Enterobacter roggenkampii	0.0306452121186212	1	1
312	log10_bacterial_reads	Pseudomonas sp. LG1E9	0.0306452121186212	1	1
313	culture_klebsiella_spp	Pseudomonas corrugata;Pseudomonas paeninsulae	0.0309908376968607	1	2
314	chronicity_group_acute_like	Serratia inhibens	0.0315082095392492	1	1
315	culture_klebsiella_spp	Pseudomonas sp. P8_241;Pseudomonas maumuensis	0.0315082095392492	1	2
316	log10_bacterial_reads	Pseudomonas sp. CC6-YY-74	0.031700288790914	1	1
317	culture_e_faecalis	Pseudomonas silesiensis	0.0319378539067474	1	1
318	culture_klebsiella_spp	Pseudomonas sp. B21-051	0.0319952544677214	1	1
319	chronicity_group_unknown	Staphylococcus gallinarum	0.0322419014323581	1	1
320	host_removed_fraction	Pseudomonas sp. G2-4;Pseudomonas sp. SK3(2021)	0.0322725484639598	1	2
321	culture_e_coli;culture_acinetobacter_baumannii	Escherichia fergusonii	0.0327055168290425	2	1
322	culture_s_aureus	Pseudomonas sp. NY5710	0.0327055168290425	1	1
323	culture_p_aeruginosa	Pseudomonas sp. ML2-2023-3	0.0327055168290425	1	1
324	culture_p_aeruginosa	Pseudomonas monteilii;Pseudomonas antarctica	0.0327055168290425	1	2
325	log10_bacterial_reads	Pseudomonas sp. A34-9	0.0327917709827632	1	1
326	body_region_trunk_perineum	Staphylococcus sp. NRL 16/872	0.0329931246018594	1	1
327	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas oryzihabitans	0.0332829830089348	2	1
328	clinical_infection_flag_yes	Pseudomonas lactis	0.0332829830089348	1	1
329	log10_bacterial_reads	Staphylococcus gallinarum	0.0335748756817439	1	1
330	body_region_head_neck	Corynebacterium propinquum;Corynebacterium pseudodiphtheriticum	0.0337843751718302	1	2
331	body_region_trunk_perineum	Dermacoccus nishinomiyaensis	0.0337843751718302	1	1
332	culture_klebsiella_spp	Pseudomonas rhizosphaerae	0.0337843751718302	1	1
333	culture_klebsiella_spp	Pseudomonas moraviensis	0.0337843751718302	1	1
334	culture_klebsiella_spp	Pseudomonas vranovensis;Pseudomonas fakonensis	0.0337843751718302	1	2
335	log10_bacterial_reads	Pseudomonas salmasensis	0.0341742173243001	1	1
336	culture_klebsiella_spp	Pseudomonas sp. N3-W	0.034460049451172	1	1
337	culture_klebsiella_spp	Pseudomonas sp. gcc21	0.034460049451172	1	1
338	culture_e_coli	Dermabacter hominis	0.0353095162323564	1	1
339	culture_e_coli	Kosakonia cowanii;Cronobacter condimenti	0.0353095162323564	1	2
340	chronicity_group_acute_like	Kocuria rhizophila	0.0354402854981023	1	1
341	chronicity_group_mixed	Staphylococcus sp. NRL 16/872	0.0356394058055603	1	1
342	host_removed_fraction;log10_bacterial_reads	Corynebacterium striatum	0.035846407897424	2	1
343	chronicity_group_unknown	Achromobacter xylosoxidans	0.0363075704510997	1	1
344	culture_p_aeruginosa	Staphylococcus saprophyticus	0.0363075704510997	1	1
345	clinical_infection_flag_yes	Pseudomonas lurida	0.0366953376139944	1	1
346	culture_p_aeruginosa	Pseudomonas sp. HS6	0.0367007805791329	1	1
347	culture_klebsiella_spp	Pseudomonas silesiensis;Pseudomonas sp. B22129;Pseudomonas lundensis	0.0367007805791329	1	3
348	culture_p_aeruginosa	Mammaliicoccus sciuri	0.0376670321122397	1	1
349	clinical_infection_flag_unknown	Pseudomonas putida	0.0378076436627866	1	1
350	culture_klebsiella_spp	uncultured Pseudomonas sp.	0.0378076436627866	1	1
351	log10_bacterial_reads	Raoultella ornithinolytica	0.0378934865802665	1	1
352	culture_acinetobacter_baumannii	Corynebacterium genitalium	0.0378934865802665	1	1
353	body_region_trunk_perineum	Staphylococcus equorum	0.0379208289527579	1	1
354	log10_bacterial_reads	Pseudomonas sp. gcc21;Pseudomonas sp. HS-18;Pseudomonas izuensis	0.0379208289527579	1	3
355	chronicity_group_acute_like	Salmonella enterica	0.0380082255983536	1	1
356	host_removed_fraction	Pseudomonas sp. AA-38	0.0389201963955592	1	1
357	culture_s_aureus	Stenotrophomonas sp. 59	0.0390283450720142	1	1
358	chronicity_group_acute_like	Serratia plymuthica	0.0394448291019453	1	1
359	culture_p_aeruginosa	Acinetobacter indicus	0.0394648705171309	1	1
360	culture_p_aeruginosa	Staphylococcus croceilyticus	0.0396003061966756	1	1
361	log10_bacterial_reads	Pseudomonas sp. LTJR-52	0.0398640456843844	1	1
362	log10_bacterial_reads	Pseudomonas coleopterorum	0.0398640456843844	1	1
363	culture_klebsiella_spp	Pseudomonas hamedanensis	0.0403711697677492	1	1
364	body_region_head_neck	Micrococcus luteus	0.0404584576907704	1	1
365	chronicity_group_unknown	Staphylococcus shinii	0.0408776524610169	1	1
366	log10_bacterial_reads	Pseudomonas sp. HN11	0.0410886533587929	1	1
367	culture_klebsiella_spp	Pseudomonas kermanshahensis	0.0416572742017174	1	1
368	culture_e_coli	Jejubacter calystegiae	0.041694453603784	1	1
369	chronicity_group_unknown	Kosakonia cowanii	0.041694453603784	1	1
370	host_removed_fraction	Pseudomonas yamanorum	0.041694453603784	1	1
371	culture_klebsiella_spp	Pseudomonas phenolilytica	0.042334175517843	1	1
372	clinical_infection_flag_unknown	Staphylococcus devriesei	0.0426775241876507	1	1
373	culture_s_aureus	Pseudomonas sp. MTM4	0.0428070577583162	1	1
374	log10_bacterial_reads	Pseudomonas sp. MH9.3;Pseudomonas cucumis;Pseudomonas sp. ACM7;Pseudomonas sp. B21-048;Pseudomonas sp. NS1(2017);Pseudomonas oryziphila;Pseudomonas hygromyciniae;Pseudomonas aestiva	0.042942696966106	1	8
375	log10_bacterial_reads	Staphylococcus lutrae	0.042967462056814	1	1
376	culture_klebsiella_spp	Pseudomonas synxantha;Pseudomonas rhodesiae	0.0429777344708825	1	2
377	culture_s_aureus	Aeromonas caviae	0.0431631753322231	1	1
378	chronicity_group_acute_like	Streptococcus agalactiae	0.0431893326788081	1	1
379	chronicity_group_acute_like	Serratia odorifera	0.0431893326788081	1	1
380	chronicity_group_acute_like	Pseudomonas sp. LS.1a	0.0431893326788081	1	1
381	chronicity_group_acute_like	Pseudomonas sp. MAG733B;Pseudomonas viciae	0.0431893326788081	1	2
382	culture_acinetobacter_baumannii	Yersinia enterocolitica	0.043382816255558	1	1
383	clinical_infection_flag_yes	Pseudomonas sp. HOU2	0.043382816255558	1	1
384	culture_klebsiella_spp	Pseudomonas sp. FP453	0.0435745586980429	1	1
385	host_removed_fraction	Pseudomonas benzenivorans;Pseudomonas entomophila	0.0437927486937878	1	2
386	host_removed_fraction	Yokenella regensburgei	0.0437934818509952	1	1
387	host_removed_fraction	Pseudomonas luteola	0.0440549720516473	1	1
388	body_region_head_neck	Staphylococcus nepalensis	0.0441887818534413	1	1
389	culture_p_aeruginosa	Pseudomonas zeae	0.0442353135044007	1	1
390	body_region_head_neck	Rothia mucilaginosa	0.0442885538611766	1	1
391	culture_e_faecalis	Pseudomonas tolaasii	0.0444133783340167	1	1
392	culture_s_aureus	Serratia inhibens	0.0444253165833768	1	1
393	culture_klebsiella_spp	Pseudomonas izuensis	0.0445665538700157	1	1
394	culture_klebsiella_spp	Pseudomonas sp. St316	0.0446700909646899	1	1
395	chronicity_group_chronic_like	Corynebacterium kroppenstedtii	0.0452289870307695	1	1
396	culture_klebsiella_spp	Pseudomonas vancouverensis	0.0452289870307695	1	1
397	culture_klebsiella_spp	Pseudomonas leptonychotis	0.0452289870307695	1	1
398	clinical_infection_flag_unknown	Enterococcus faecalis	0.0453940990244568	1	1
399	log10_bacterial_reads	Staphylococcus hominis	0.0458771001452743	1	1
400	culture_s_aureus	Pseudomonas sp. LM12	0.0461826304639971	1	1
401	host_removed_fraction	Staphylococcus rostri	0.0461826304639971	1	1
402	culture_p_aeruginosa	Kocuria rhizophila	0.0463624348319146	1	1
403	body_region_trunk_perineum	Kocuria marina	0.0464508457531858	1	1
404	clinical_infection_flag_yes	Pseudomonas sp. DY-1	0.0467338922401151	1	1
405	culture_p_aeruginosa	Staphylococcus aureus	0.0471310951917947	1	1
406	culture_s_aureus	Pseudomonas sp. IzPS59	0.0471310951917947	1	1
407	chronicity_group_acute_like	Cutibacterium modestum	0.0471456170857489	1	1
408	body_region_head_neck	Staphylococcus equorum	0.0471456170857489	1	1
409	culture_klebsiella_spp	Pseudomonas sp. TUM22785;Pseudomonas sp. JQ170C	0.0471456170857489	1	2
410	chronicity_group_acute_like	uncultured Pseudomonas sp.	0.0471456170857489	1	1
411	culture_klebsiella_spp	Pseudomonas wadenswilerensis	0.0471456170857489	1	1
412	culture_klebsiella_spp	Pseudomonas purpurea	0.0471456170857489	1	1
413	chronicity_group_chronic_like	Pseudomonas sp. MM211	0.0471456170857489	1	1
414	body_region_head_neck	Streptococcus thermophilus	0.0473149992983541	1	1
415	body_region_head_neck	Staphylococcus hsinchuensis	0.0475402359702986	1	1
416	host_removed_fraction	Pseudomonas sp. LPB0260	0.0476288836956552	1	1
417	log10_bacterial_reads	Pseudomonas siliginis	0.0477599168610583	1	1
418	chronicity_group_chronic_like	Pseudomonas tohonis	0.0477990170875033	1	1
419	host_removed_fraction	Staphylococcus delphini	0.0483232756622255	1	1
420	chronicity_group_chronic_like	Staphylococcus arlettae	0.0483459400941731	1	1
421	log10_bacterial_reads	Pseudomonas sp. KnCO4;Pseudomonas sp. DTU12.3	0.0484340200851484	1	2
422	culture_s_aureus	Pluralibacter gergoviae	0.048609556274064	1	1
423	culture_e_faecalis	Pseudomonas donghuensis	0.048677829849689	1	1
424	culture_gas	Pseudomonas sp. ATCC 13867	0.048677829849689	1	1
425	body_region_head_neck	Staphylococcus saprophyticus	0.0488046625254311	1	1
426	chronicity_group_acute_like	Pseudomonas frederiksbergensis	0.0488707803821137	1	1
427	culture_acinetobacter_baumannii	Leclercia adecarboxylata	0.0489519740884785	1	1
428	log10_bacterial_reads	Clostridium botulinum	0.0489519740884785	1	1
429	log10_bacterial_reads	Staphylococcus carnosus	0.0489519740884785	1	1
430	chronicity_group_mixed	Pseudomonas sp. B21-051	0.0489519740884785	1	1
431	log10_bacterial_reads	Pseudomonas orientalis	0.0489519740884785	1	1
432	host_removed_fraction	Pseudomonas sp. FP2338	0.0489519740884785	1	1
433	chronicity_group_unknown	Pseudomonas aeruginosa	0.0490793891169024	1	1
434	host_removed_fraction	Pseudomonas congelans	0.0492136226260074	1	1
435	clinical_infection_flag_unknown	Staphylococcus agnetis	0.0492631097238256	1	1
436	body_region_upper_extremity	Pseudomonas sp. AN-B15	0.0498629807250326	1	1
