sample_i	sample_j	distance	comparison_group	same_patient	same_batch
02B	02L	0.9747164479006054	Same patient, different batch date	True	False
02B	02M	0.6814203419901022	Same patient, different batch date	True	False
02B	02N	0.7297138310662266	Same patient, different batch date	True	False
02B	02O	0.9959658004985484	Same patient, different batch date	True	False
02B	03A	0.7022275726902272	Different patient	False	False
02B	03B	0.9790635418428125	Different patient	False	False
02B	03C	0.9725335652140802	Different patient	False	False
02B	03D	0.9747777712351495	Different patient	False	False
02B	03E	0.8416890361380752	Different patient	False	False
02B	03F	0.9664683237031125	Different patient	False	False
02B	03I	0.9425017668126976	Different patient	False	False
02B	04B	0.44042184207761575	Different patient	False	False
02B	04C	0.47721126756263565	Different patient	False	False
02B	05C	0.6385822263707593	Different patient	False	False
02B	05E	0.6188883662284462	Different patient	False	False
02B	05F	0.6603342617899807	Different patient	False	False
02B	05G	0.5262300767251643	Different patient	False	False
02B	06A	0.06594219553806133	Different patient	False	False
02B	07A	0.3938823207395049	Different patient	False	False
02B	07B	0.6850747998786609	Different patient	False	False
02B	07C	0.925284720434863	Different patient	False	False
02B	07D	0.3261482487711635	Different patient	False	False
02B	08B	0.3399253106567391	Different patient	False	False
02B	09A	0.9194325456648897	Different patient	False	False
02B	10A	0.9171324279587448	Different patient	False	False
02B	10B	0.962735553274949	Different patient	False	False
02B	10C	0.9789511030337893	Different patient	False	False
02B	11A	0.962990968872449	Different patient	False	False
02B	11B	0.960103776518042	Different patient	False	False
02B	12A	0.9978007383392882	Different patient	False	False
02B	12B	0.9964571878897379	Different patient	False	False
02B	13B	0.9855562501209048	Different patient	False	False
02B	13C	0.9845927357249925	Different patient	False	False
02B	13D	0.9661576529196757	Different patient	False	False
02B	14A	0.9980666794312414	Different patient	False	False
02B	15A	0.9834812575058087	Different patient	False	False
02B	16A	0.06907005187871049	Different patient	False	False
02B	16C	0.9366632221172264	Different patient	False	False
02B	16D	0.9630864849575815	Different patient	False	False
02B	16E	0.621691896681469	Different patient	False	False
02B	16F	0.061489706351375704	Different patient	False	False
02B	16G	0.11858913947109784	Different patient	False	False
02B	16H	0.8636006886068126	Different patient	False	False
02B	17B	0.37650957266352686	Different patient	False	False
02B	17C	0.06348754186910543	Different patient	False	False
02B	17G	0.9155192374832395	Different patient	False	False
02B	17I	0.9332126769283587	Different patient	False	False
02B	20B	0.6834601870000183	Different patient	False	False
02B	20C	0.06807406794526803	Different patient	False	False
02C	02H	0.8692026595570286	Same patient, different batch date	True	False
02C	02I	0.9495027272535025	Same patient, different batch date	True	False
02C	02J	0.8920677053344769	Same patient, different batch date	True	False
02C	02K	0.11987910236534678	Same patient, different batch date	True	False
02C	02L	0.9604399183842706	Same patient, different batch date	True	False
02C	02M	0.9558281819288502	Same patient, different batch date	True	False
02C	02N	0.6901943184446807	Same patient, different batch date	True	False
02C	02O	0.996932025836078	Same patient, different batch date	True	False
02C	03A	0.9551398985648406	Different patient	False	False
02C	03B	0.9695766102410829	Different patient	False	False
02C	03C	0.8701021207553197	Different patient	False	False
02C	03D	0.9592871278131581	Different patient	False	False
02C	03E	0.8903796907862863	Different patient	False	False
02C	03F	0.9387128971468212	Different patient	False	False
02C	03I	0.3311577902672707	Different patient	False	False
02C	04B	0.9659713820105877	Different patient	False	False
02C	04C	0.9595133773165009	Different patient	False	False
02C	05C	0.9481526847858737	Different patient	False	False
02C	05E	0.826168465770771	Different patient	False	False
02C	05F	0.8563920297786479	Different patient	False	False
02C	05G	0.818464485793214	Different patient	False	False
02C	06A	0.9967145194307927	Different patient	False	False
