feature	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
Staphylococcus lugdunensis	0.0001402176749572	0.0	0.0	8.82362317322537e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78119740673171e-06	0.0002106131319942	0.0	0.0	0.0001660951290686	7.657300003154939e-05	0.0001075999686342	9.61434075066369e-05	0.0068305806740901	0.0007014467338886	0.0002256226783023	0.0	0.0	8.372492176952623e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.289045297774663e-06	0.0	0.0	5.0397168454473913e-05	0.0	0.0	0.0001120184606423	0.0	0.0001124535431664	0.0002884997552355	0.0003149248660238	0.0	0.0013218812457307	0.0002150181938471	7.898664964423769e-05	0.0	0.0	0.0	0.0001981586488628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002615567496974	0.0
Staphylococcus haemolyticus	0.0011996401079676	0.0	0.0	6.261926122934134e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0288374339246745e-05	0.000440252240198	0.0003308040606198	0.0	0.0003539103904002	7.180772749739718e-05	0.0001002156570613	0.000105357150726	0.0003368445611815	0.0	0.001305388353035	0.0	0.0	0.0003192012642463	0.000182233855737	0.0	0.0012237505506877	0.0	0.0	0.0	0.0	2.4581306745124863e-05	0.0	0.0	0.0002015886738178	0.000164338537387	0.0	0.0003696609201196	0.0	0.0001699679507401	0.0016476200560528	0.0015276073782904	0.0	0.0009107698535178	0.0007442937479325	0.0001968621344449	5.536691116218361e-06	0.0	0.0	0.0010365221632827	0.0002101218706849	0.0	0.0	0.0	0.0	0.0	0.0	0.0014843677521105	0.0004311176770874	0.0
Staphylococcus warneri	0.0009367319674227	0.0	0.0	5.692660111758303e-06	0.0	0.0	0.0	2.1866953872098148e-06	0.0	0.0	0.0	2.550109878958595e-06	6.636968445197225e-05	0.0	0.0	0.000125210174221	7.279364595273902e-05	9.599605044821014e-05	0.0001167741803674	0.0132751024842286	0.0018412976764576	0.0002900863006744	2.5163769787000607e-06	0.0	5.232807610595389e-05	0.0002153672840528	0.0	0.0007832003524401	0.0	0.0	1.236568958694792e-05	6.195931560693201e-06	6.559778951169948e-05	0.0	0.0	9.691763164321906e-05	0.0001291231365183	0.0	0.0001904313830919	0.0	0.0001935746105652	0.0013125715814441	0.0009154998922158	0.0	0.0011068383636501	0.0	0.0006121465347428	7.858529326245416e-06	0.0	0.0016595335837191	0.0004115602707152	0.0001801044605871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001839916446147	0.0
Staphylococcus nepalensis	2.9861171518674268e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.286305408721499e-06	1.6813653394499635e-05	0.0	0.0	7.921460001737611e-05	6.079830474607999e-05	9.1776443835102e-05	1.782659014185559e-05	4.338149651580964e-05	0.0	0.0	0.0	0.0	0.0	0.0002153672840528	0.0	0.0	0.0	0.0	0.0	0.0	7.574472427276847e-06	0.0	0.0	0.0	0.0001173846695621	0.0	0.0	0.0	0.0001034400912333	9.514353630109553e-05	0.0001020179143457	0.0	0.0001644445568851	0.0001653986106516	4.715019392028474e-05	1.000176459703962e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008323133414932	0.0	0.0	0.0	0.0001388956532875	0.0
Staphylococcus devriesei	1.817636527223651e-05	0.0	0.0	3.130963061467067e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0552178809483842e-06	1.0176684949302413e-05	0.0	0.0	6.771570646646668e-05	5.849782835028237e-05	7.524965126709511e-05	9.414041985024862e-06	4.884975237914699e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.857889463294321e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.618193180593952e-05	3.4783658432658584e-05	1.8629358271834272e-05	0.0	0.0	0.0	4.916515947243366e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001298764550221	0.0
Staphylococcus casei	2.531708020061514e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.154403173602951e-05	2.610540921777575e-05	0.0004962060909297	0.0	0.0014015873583719	4.288745280736994e-05	7.349148184496674e-05	1.722569384493911e-05	5.21307058971494e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.001206056090826e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.476617174231313e-05	2.0972499937338264e-05	2.395203206378692e-05	0.0	0.0	0.0	5.118012502458258e-05	0.0004129299955063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.395742577650788e-05	0.0
Staphylococcus pettenkoferi	0.0001252870891979	0.0	0.0	2.846330055879152e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9897839960204217e-06	1.2389007764368153e-05	0.0	0.0	7.665929033939623e-05	4.338041203504085e-05	7.06784107695613e-05	2.103137039207682e-05	5.067250433359277e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.001608074787768e-06	0.0	0.0	4.6520463188745146e-05	0.0	0.0	0.0	0.0	3.519538373913182e-05	5.575615836999685e-05	5.943652401013792e-05	0.0	9.487185974144256e-05	0.0	4.372475248163157e-05	0.0	0.0	0.0	0.0004877751356624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001461110118999	0.0
Staphylococcus piscifermentans	0.0001006191648998	0.0	0.0	3.700229072642897e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4948919980102108e-06	4.424645630131483e-06	0.0	0.0	3.8329645169698114e-05	3.286394851139459e-05	5.9074492583513926e-05	7.411054328636594e-06	1.6404767590012047e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.573266371186021e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.768737142418121e-05	5.677920714742798e-05	4.612983953025629e-05	0.0	6.957269714372455e-05	0.0	3.304543505524229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.576126542959343e-05	0.0
Staphylococcus felis	0.0006718763591701	0.0	0.0	4.269495083818727e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.672830575360188e-07	4.424645630131483e-06	0.0	0.0	4.982853872060755e-05	4.19015343520281e-05	5.8722858699088246e-05	1.281912100088492e-05	3.2080434398245786e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1461307236751e-06	0.0	0.0	5.0397168454473913e-05	0.0	0.0	0.0001232203067065	0.0	0.0001296220230392	0.000118673658182	9.758235285246524e-05	0.0	0.0001834189288334	0.000198478332782	5.178461469022726e-05	0.0	0.0	0.0	0.0003658313517468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001406994929406	0.0
Staphylococcus pseudintermedius	0.0001616398197423	0.0	0.0	3.984862078230813e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.908185668048328e-05	7.69888339642878e-05	0.0006822833750284	0.0	0.001009347322802	3.072779185815394e-05	4.078953059337867e-05	0.000335500432445	0.0008639844264073	0.0	0.0002739703950814	2.7812587659316462e-06	0.0	0.000115121767433	0.0002319339982107	0.0	0.0	0.0	0.0	0.0	0.0	1.0718593057467237e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0948103548252655e-05	0.0003938737793109	0.0003175862029198	0.0	0.0009297442254661	0.0006119748594111	6.165794589575697e-05	1.1251985171669572e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002074415601048	0.0
Staphylococcus delphini	3.115948332383402e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.752039319170927e-06	0.0	0.0	2.299778710181887e-05	9.859184553418376e-06	1.2658819839324412e-05	7.811651859914248e-06	1.2030162899342168e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3020530970138e-05	0.0	0.0	1.4291457409956314e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1460599840934035e-05	3.682975598752085e-05	3.9032941140986095e-05	0.0	0.0	0.0	1.9142172745414745e-05	0.0	0.0	0.0	0.0002438875678312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.921118091970569e-05	0.0
Staphylococcus kloosii	4.544091318059128e-05	0.0	0.0	2.846330055879152e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.849291260262966e-06	0.0	0.0	4.47179193646478e-05	3.746490130298983e-05	5.098691324172333e-05	1.161732840705196e-05	1.5675666808233736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8586935006882055e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.511209944326913e-05	5.7290731536143546e-05	4.435561493293875e-05	0.0	0.0001454701849368	0.0	2.7202034954010425e-05	9.82316165780677e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001334841343283	0.0
Staphylococcus edaphicus	4.673922498575103e-05	0.0	0.0	5.977293117346219e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3190223511854802e-06	6.194503882184076e-06	0.0	0.0	4.982853872060755e-05	3.795786053066075e-05	4.922874381959494e-05	6.209261734803633e-06	2.0779372280681927e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.716582963982526e-06	0.0	0.0	9.304092637749028e-05	0.0	0.0	0.0	0.0	8.155027939554933e-05	9.1051341191371e-05	8.87112298658775e-05	0.0	0.000132820603638	0.0	2.679904184358064e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.133054820490897e-05	0.0
Staphylococcus hsinchuensis	1.557974166191701e-05	0.0	0.0	7.115825139697879e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.793482341236534e-07	7.521897571223521e-06	0.0	0.0	4.727322904262768e-05	3.319258799650853e-05	4.043789670895299e-05	8.011950625553075e-06	3.900689182513976e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.859095519385147e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0172963850477997e-05	3.938737793109869e-05	5.943652401013792e-05	0.0	0.0001391453942874	0.0	2.841101428529978e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001100342188382	0.0
Staphylococcus lloydii	2.661539200577489e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.299778710181887e-05	2.4483641640988967e-05	2.8833978522905607e-05	5.007469140970672e-06	2.2966674626016868e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.002412112181652e-06	0.0	0.0	6.20272842516602e-05	0.0	0.0	0.0	0.0	3.648301972958786e-05	3.273756087779631e-05	3.19360427517159e-05	0.0	0.0	0.0	1.4507751975472229e-05	8.215735204711117e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.478046369502122e-05	0.0
Staphylococcus shinii	7.14071492837863e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.793482341236534e-07	1.4158866016420745e-05	0.0	0.0	3.960730000868805e-05	1.791085193871005e-05	2.461437190979747e-05	7.01045679735894e-06	2.952858166202169e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2870352042899523e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001073029992046	2.19955487147694e-05	2.83875935570808e-05	0.0	6.324790649429503e-05	0.0	1.6522717527621146e-05	0.0006592234487084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.117278438885011e-05	0.0
