X_features	Y_features	association	p-values	q-values
host_removed_fraction	Staphylococcus edaphicus	-0.4179685815962482	0.0008030061252037583	0.014947949114267287
host_removed_fraction	Staphylococcus hsinchuensis	-0.43374161272646883	0.00047926431077319117	0.010557819313623708
host_removed_fraction	Staphylococcus lloydii	-0.40774304898964736	0.0011074897398500971	0.018273235496557187
host_removed_fraction	Staphylococcus shinii	-0.4703765803314779	0.00013065852749506298	0.004345677005166678
host_removed_fraction	Staphylococcus cohnii	-0.38498602685804084	0.002186489293530025	0.027121261163804793
host_removed_fraction	Staphylococcus gallinarum	-0.43209610852499686	0.0005063705301238885	0.01101193604772623
host_removed_fraction	Staphylococcus agnetis	-0.44456913774522644	0.00033136929302691163	0.008146161786911578
host_removed_fraction	Staphylococcus chromogenes	-0.434392957231603	0.00046890403332679973	0.0105348141262329
host_removed_fraction	Staphylococcus massiliensis	-0.41640749323537274	0.0008439538511624367	0.015290325447629195
host_removed_fraction	Staphylococcus lutrae	-0.4014879162694023	0.001341562435526657	0.020432101290793193
host_removed_fraction	Staphylococcus auricularis	-0.3878044867807838	0.0020150025229422244	0.02609639942791697
host_removed_fraction	Staphylococcus carnosus	-0.40178329086294245	0.0013295805616017609	0.020386901944560335
host_removed_fraction	Staphylococcus coagulans	-0.30344108719381485	0.017441331018733807	0.10622929170745861
host_removed_fraction	Staphylococcus equorum	-0.4083347319364067	0.0010873760226373856	0.01817922488926584
host_removed_fraction	Staphylococcus condimenti	-0.4411788772763554	0.0003724487130838305	0.008913807824598906
host_removed_fraction	Staphylococcus hyicus	-0.384803857492912	0.002198008862807598	0.027189590034912586
host_removed_fraction	Staphylococcus ratti	-0.39742651560822573	0.0015164443405534696	0.021822003925037733
host_removed_fraction	Staphylococcus debuckii	-0.33072230488236215	0.009233401892365484	0.06941676658138483
host_removed_fraction	Staphylococcus rostri	-0.35606783866426933	0.0048566553811381094	0.04618263046399716
host_removed_fraction	Staphylococcus muscae	-0.33489544193188703	0.008335717546846685	0.06527160248742615
host_removed_fraction	Staphylococcus pseudoxylosus	-0.3650905205931037	0.003815273843981066	0.03944482910194529
host_removed_fraction	Mammaliicoccus sciuri	-0.3768874775214592	0.00275402539806395	0.03150820953924918
host_removed_fraction	Mammaliicoccus vitulinus	-0.44219343889405116	0.0003596940013469427	0.008656254027061798
host_removed_fraction	Bacillus velezensis	-0.45466858339829763	0.00023224681367908345	0.006458174716445005
host_removed_fraction	Streptococcus agalactiae	-0.35286187380786077	0.005282906848713101	0.048668734512584376
host_removed_fraction	Corynebacterium diphtheriae	-0.1436433485634273	0.26941088853073325	0.6066303531968161
host_removed_fraction	Corynebacterium aurimucosum	-0.014712913309837431	0.9103950160360218	0.9460913131879932
host_removed_fraction	Auritidibacter ignavus	-0.4176877102440069	0.0008102382543873547	0.014947949114267287
host_removed_fraction	Serratia sp. FDAARGOS_506	-0.3119730791326946	0.014380913372464546	0.09266334020149282
host_removed_fraction	Serratia sp. NGAS9	-0.602582801125687	2.7727868755224876e-07	7.713736168176616e-05
host_removed_fraction	Serratia sp. 1D1416	-0.6028983514568387	2.7230341916601606e-07	7.713736168176616e-05
host_removed_fraction	Serratia sp. SCBI	-0.5847543096350719	7.478094051183793e-07	0.00017199616317722723
host_removed_fraction	Serratia entomophila	-0.6123145723009938	1.571951612545519e-07	5.469585482626331e-05
